experiment,exploration_steps,terminal_pipeline_id,within_lookup,lookup_rank,lookup_score,exploration_lookup
1,1,610fb1cd-47d1-46b3-87ed-bbeefe5cc90f,False,,0,283
1,2,610fb1cd-47d1-46b3-87ed-bbeefe5cc90f,False,,0,259
1,3,610fb1cd-47d1-46b3-87ed-bbeefe5cc90f,False,,0,259
2,1,4eae57e8-f219-460e-b3a9-b57fb638ee06,False,,0,305
2,2,4eae57e8-f219-460e-b3a9-b57fb638ee06,False,,0,291
2,3,4eae57e8-f219-460e-b3a9-b57fb638ee06,False,,0,344
3,1,f269fbac-36af-46ea-ae9b-28ce9ccd81d4,False,,0,362
3,2,f269fbac-36af-46ea-ae9b-28ce9ccd81d4,False,,0,354
3,3,f269fbac-36af-46ea-ae9b-28ce9ccd81d4,False,,0,225
4,1,6d9bfc44-e61d-489a-8570-bca9ffb9c2fa,False,,0,213
4,2,6d9bfc44-e61d-489a-8570-bca9ffb9c2fa,False,,0,237
4,3,6d9bfc44-e61d-489a-8570-bca9ffb9c2fa,False,,0,276
5,1,342d1ca0-b78c-45dd-b45a-4afa2227de7f,False,,0,301
5,2,342d1ca0-b78c-45dd-b45a-4afa2227de7f,False,,0,432
5,3,342d1ca0-b78c-45dd-b45a-4afa2227de7f,False,,0,487
