experiment,exploration_steps,terminal_pipeline_id,within_lookup,lookup_rank,lookup_score,exploration_lookup
1,1,35ac3fb5-70b9-447e-b0ff-0e60fb771db6,True,146.0,0.5,290
1,2,35ac3fb5-70b9-447e-b0ff-0e60fb771db6,True,143.0,0.5103448275862069,290
1,3,35ac3fb5-70b9-447e-b0ff-0e60fb771db6,True,142.0,0.3974358974358974,234
1,4,35ac3fb5-70b9-447e-b0ff-0e60fb771db6,True,141.0,0.4017094017094017,234
2,1,bdc1327f-46dc-42ab-88fb-f16c40e0c0ec,False,,0.0,229
2,2,bdc1327f-46dc-42ab-88fb-f16c40e0c0ec,False,,0.0,253
2,3,bdc1327f-46dc-42ab-88fb-f16c40e0c0ec,False,,0.0,229
2,4,bdc1327f-46dc-42ab-88fb-f16c40e0c0ec,False,,0.0,257
3,1,8eec415c-66ec-42aa-a952-4c9375192143,True,100.0,0.6586206896551724,290
3,2,8eec415c-66ec-42aa-a952-4c9375192143,True,103.0,0.6482758620689655,290
3,3,8eec415c-66ec-42aa-a952-4c9375192143,True,116.0,0.5085470085470085,234
3,4,8eec415c-66ec-42aa-a952-4c9375192143,True,108.0,0.5427350427350427,234
4,1,890a75e3-00e4-4750-bdb4-c542fa3f55df,True,275.0,0.0249110320284697,281
4,2,890a75e3-00e4-4750-bdb4-c542fa3f55df,True,131.0,0.4514767932489451,237
4,3,890a75e3-00e4-4750-bdb4-c542fa3f55df,True,24.0,0.902127659574468,235
4,4,890a75e3-00e4-4750-bdb4-c542fa3f55df,False,,0.0,224
5,1,a8376156-1bcf-4633-a557-1cd244683448,False,,0.0,339
5,2,a8376156-1bcf-4633-a557-1cd244683448,False,,0.0,295
5,3,a8376156-1bcf-4633-a557-1cd244683448,False,,0.0,290
5,4,a8376156-1bcf-4633-a557-1cd244683448,False,,0.0,290
6,1,72d71c65-02aa-4354-b9a1-3fd68b135f00,False,,0.0,509
6,2,72d71c65-02aa-4354-b9a1-3fd68b135f00,False,,0.0,413
6,3,72d71c65-02aa-4354-b9a1-3fd68b135f00,False,,0.0,413
6,4,72d71c65-02aa-4354-b9a1-3fd68b135f00,False,,0.0,413
7,1,ac983103-0bba-4929-9b51-8ae86c950c4d,False,,0.0,280
7,2,ac983103-0bba-4929-9b51-8ae86c950c4d,False,,0.0,291
7,3,ac983103-0bba-4929-9b51-8ae86c950c4d,False,,0.0,291
7,4,ac983103-0bba-4929-9b51-8ae86c950c4d,False,,0.0,262
8,1,a3acde1b-fe2b-40e5-9af1-f16f82f15a8b,False,,0.0,323
8,2,a3acde1b-fe2b-40e5-9af1-f16f82f15a8b,False,,0.0,327
8,3,a3acde1b-fe2b-40e5-9af1-f16f82f15a8b,False,,0.0,327
8,4,a3acde1b-fe2b-40e5-9af1-f16f82f15a8b,False,,0.0,321
9,1,a1dccde1-71fa-431e-b042-3900e1007782,False,,0.0,274
9,2,a1dccde1-71fa-431e-b042-3900e1007782,False,,0.0,274
9,3,a1dccde1-71fa-431e-b042-3900e1007782,False,,0.0,283
9,4,a1dccde1-71fa-431e-b042-3900e1007782,False,,0.0,199
10,1,19547ce0-fe2f-45ca-90da-00d077dce7ef,False,,0.0,298
10,2,19547ce0-fe2f-45ca-90da-00d077dce7ef,False,,0.0,259
10,3,19547ce0-fe2f-45ca-90da-00d077dce7ef,False,,0.0,250
10,4,19547ce0-fe2f-45ca-90da-00d077dce7ef,False,,0.0,221
11,1,345fe715-5f40-44ec-bb50-de0c7fc2647e,False,,0.0,307
