experiment,exploration_steps,type_of_similarity,partial_pipeline_id,min_to_terminal_similarity,max_to_terminal_similarity,explanation_satisfied
1,1,manhattan,2574e215-5324-4a2f-9a0e-d539230c700d,7.163711414590226,7.295277758027176,False
1,1,cosine,2574e215-5324-4a2f-9a0e-d539230c700d,0.9732940102380625,0.9722012745202058,True
1,1,euclidian,2574e215-5324-4a2f-9a0e-d539230c700d,0.23407097716935718,0.2279133269925248,True
1,2,manhattan,2574e215-5324-4a2f-9a0e-d539230c700d,4.604028797749164,5.771236566290483,False
1,2,cosine,2574e215-5324-4a2f-9a0e-d539230c700d,0.9778744659103087,0.9721997765346665,True
1,2,euclidian,2574e215-5324-4a2f-9a0e-d539230c700d,0.2473296271478769,0.2557700819436718,False
1,3,manhattan,2574e215-5324-4a2f-9a0e-d539230c700d,4.192879582526244,5.324428733440982,False
1,3,cosine,2574e215-5324-4a2f-9a0e-d539230c700d,0.9869391029625267,0.9960776976692517,False
1,3,euclidian,2574e215-5324-4a2f-9a0e-d539230c700d,0.1882151731742734,0.24510758624721615,False
1,4,manhattan,2574e215-5324-4a2f-9a0e-d539230c700d,5.195007027647107,6.2867371362775035,False
1,4,cosine,2574e215-5324-4a2f-9a0e-d539230c700d,0.9869901267975987,0.995103967806639,False
1,4,euclidian,2574e215-5324-4a2f-9a0e-d539230c700d,0.287227029710372,0.29961752493616456,False
1,5,manhattan,2574e215-5324-4a2f-9a0e-d539230c700d,6.698946264074148,6.96319518239944,False
1,5,cosine,2574e215-5324-4a2f-9a0e-d539230c700d,0.98138148847852,0.973443635775974,True
1,5,euclidian,2574e215-5324-4a2f-9a0e-d539230c700d,0.22586821749286476,0.19706820310155543,True
1,6,manhattan,2574e215-5324-4a2f-9a0e-d539230c700d,3.022398225357603,4.820031935756662,False
1,6,cosine,2574e215-5324-4a2f-9a0e-d539230c700d,0.9588153892456226,0.965641416898717,False
1,6,euclidian,2574e215-5324-4a2f-9a0e-d539230c700d,0.1919297257237782,0.2003119581224499,False
1,7,manhattan,2574e215-5324-4a2f-9a0e-d539230c700d,6.359993531017631,7.350226962233396,False
1,7,cosine,2574e215-5324-4a2f-9a0e-d539230c700d,0.9611633779629405,0.9577139888341283,True
1,7,euclidian,2574e215-5324-4a2f-9a0e-d539230c700d,0.18152211736142762,0.19603406000526946,False
2,1,manhattan,1d25e983-8f3d-40d1-ab5c-94502d663579,4.346996156364867,5.036643882722338,False
2,1,cosine,1d25e983-8f3d-40d1-ab5c-94502d663579,0.9866534409535297,0.9886273750414359,False
2,1,euclidian,1d25e983-8f3d-40d1-ab5c-94502d663579,0.12335354727097124,0.10469875292054942,True
2,2,manhattan,1d25e983-8f3d-40d1-ab5c-94502d663579,4.723097856230526,4.913325971558187,False
2,2,cosine,1d25e983-8f3d-40d1-ab5c-94502d663579,0.9838422042063506,0.989097523821029,False
2,2,euclidian,1d25e983-8f3d-40d1-ab5c-94502d663579,0.205388943871888,0.20321576550590245,True
2,3,manhattan,1d25e983-8f3d-40d1-ab5c-94502d663579,7.7490745804573935,7.8039342137103755,False
2,3,cosine,1d25e983-8f3d-40d1-ab5c-94502d663579,0.9842319567323063,0.9825615676303167,True
2,3,euclidian,1d25e983-8f3d-40d1-ab5c-94502d663579,0.07323362348910042,0.180260040556292,False
2,4,manhattan,1d25e983-8f3d-40d1-ab5c-94502d663579,9.13771640379531,8.309247794091586,True
2,4,cosine,1d25e983-8f3d-40d1-ab5c-94502d663579,0.9624132986199612,0.972378578576729,False
2,4,euclidian,1d25e983-8f3d-40d1-ab5c-94502d663579,0.25670977790819977,0.21917992858742186,True
2,5,manhattan,1d25e983-8f3d-40d1-ab5c-94502d663579,6.108808333803255,4.967681026718127,True
2,5,cosine,1d25e983-8f3d-40d1-ab5c-94502d663579,0.9853331360160072,0.9859105035014378,False
2,5,euclidian,1d25e983-8f3d-40d1-ab5c-94502d663579,0.1605502418305184,0.1585311511406407,True
2,6,manhattan,1d25e983-8f3d-40d1-ab5c-94502d663579,8.25035115761175,7.9218130148007475,True
2,6,cosine,1d25e983-8f3d-40d1-ab5c-94502d663579,0.9831752759507245,0.9846550368042153,False
2,6,euclidian,1d25e983-8f3d-40d1-ab5c-94502d663579,0.11027095102404959,0.17032154875642855,False
2,7,manhattan,1d25e983-8f3d-40d1-ab5c-94502d663579,6.436990510450455,8.059729454806856,False
2,7,cosine,1d25e983-8f3d-40d1-ab5c-94502d663579,0.9859432745591841,0.9953526142226021,False
2,7,euclidian,1d25e983-8f3d-40d1-ab5c-94502d663579,0.08084237065269247,0.19748266675300444,False
3,1,manhattan,2de4bad5-cb72-40bc-8c69-115d5d832bf5,4.554305839169228,4.753179052375253,False
3,1,cosine,2de4bad5-cb72-40bc-8c69-115d5d832bf5,0.9897531675174562,0.9887910754414191,True
3,1,euclidian,2de4bad5-cb72-40bc-8c69-115d5d832bf5,0.18296922612517144,0.1684480707895651,True
3,2,manhattan,2de4bad5-cb72-40bc-8c69-115d5d832bf5,1.8930071624803473,5.0019489559180546,False
3,2,cosine,2de4bad5-cb72-40bc-8c69-115d5d832bf5,0.9838241448566672,0.9870307887694488,False
3,2,euclidian,2de4bad5-cb72-40bc-8c69-115d5d832bf5,0.14947754138705643,0.14670551591262637,True
3,3,manhattan,2de4bad5-cb72-40bc-8c69-115d5d832bf5,2.5200614118848783,5.618348803436636,False
3,3,cosine,2de4bad5-cb72-40bc-8c69-115d5d832bf5,0.9731044770065015,0.9858441616647394,False
3,3,euclidian,2de4bad5-cb72-40bc-8c69-115d5d832bf5,0.2475952935305829,0.2190744436261264,True
3,4,manhattan,2de4bad5-cb72-40bc-8c69-115d5d832bf5,10.289145843421863,8.88137183832964,True
3,4,cosine,2de4bad5-cb72-40bc-8c69-115d5d832bf5,0.9786004895805567,0.9861457023065597,False
3,4,euclidian,2de4bad5-cb72-40bc-8c69-115d5d832bf5,0.22759173423155155,0.17638353535897372,True
3,5,manhattan,2de4bad5-cb72-40bc-8c69-115d5d832bf5,6.603078080753262,7.729370229769657,False
3,5,cosine,2de4bad5-cb72-40bc-8c69-115d5d832bf5,0.9903608657664628,0.9931034449051124,False
3,5,euclidian,2de4bad5-cb72-40bc-8c69-115d5d832bf5,0.21788809355188232,0.1885141936745546,True
3,6,manhattan,2de4bad5-cb72-40bc-8c69-115d5d832bf5,6.970032516671676,8.065834448726328,False
3,6,cosine,2de4bad5-cb72-40bc-8c69-115d5d832bf5,0.9640852888174606,0.9689910802405599,False
3,6,euclidian,2de4bad5-cb72-40bc-8c69-115d5d832bf5,0.101107144071205,0.1734806487379351,False
3,7,manhattan,2de4bad5-cb72-40bc-8c69-115d5d832bf5,3.0596723273484607,5.648224488960016,False
3,7,cosine,2de4bad5-cb72-40bc-8c69-115d5d832bf5,0.9612276759279245,0.9732838699874091,False
3,7,euclidian,2de4bad5-cb72-40bc-8c69-115d5d832bf5,0.12086283416647974,0.18322305570006409,False
4,1,manhattan,055624a8-1807-4740-acae-453aed386e13,6.7378322728018505,8.551055116231169,False
4,1,cosine,055624a8-1807-4740-acae-453aed386e13,0.9749874432043018,0.965620635102189,True
4,1,euclidian,055624a8-1807-4740-acae-453aed386e13,0.19903145107826048,0.24521167035930183,False
4,2,manhattan,055624a8-1807-4740-acae-453aed386e13,6.615536265723283,5.841099569784496,True
4,2,cosine,055624a8-1807-4740-acae-453aed386e13,0.9659539785576723,0.9792463921060485,False
4,2,euclidian,055624a8-1807-4740-acae-453aed386e13,0.25593673192036603,0.2673420874766447,False
4,3,manhattan,055624a8-1807-4740-acae-453aed386e13,6.56938138063965,5.884285338765311,True
4,3,cosine,055624a8-1807-4740-acae-453aed386e13,0.9667707686442129,0.9778831276256165,False
4,3,euclidian,055624a8-1807-4740-acae-453aed386e13,0.2623117744582894,0.19645594812343378,True
4,4,manhattan,055624a8-1807-4740-acae-453aed386e13,7.128675898524986,7.463282114308326,False
4,4,cosine,055624a8-1807-4740-acae-453aed386e13,0.9740167540139422,0.967950964735105,True
4,4,euclidian,055624a8-1807-4740-acae-453aed386e13,0.2988012251643363,0.2358992852107767,True
4,5,manhattan,055624a8-1807-4740-acae-453aed386e13,7.417769511783192,9.63901822770307,False
4,5,cosine,055624a8-1807-4740-acae-453aed386e13,0.9811824077736836,0.99308625673202,False
4,5,euclidian,055624a8-1807-4740-acae-453aed386e13,0.25041017964919293,0.2439972440403856,True
4,6,manhattan,055624a8-1807-4740-acae-453aed386e13,7.046033287587944,4.918395999625602,True
4,6,cosine,055624a8-1807-4740-acae-453aed386e13,0.9664318525648312,0.9851282438934725,False
4,6,euclidian,055624a8-1807-4740-acae-453aed386e13,0.24259676676158953,0.18440445054476343,True
4,7,manhattan,055624a8-1807-4740-acae-453aed386e13,7.825432456300835,8.751960054327226,False
4,7,cosine,055624a8-1807-4740-acae-453aed386e13,0.9751326425390144,0.9854969730537774,False
4,7,euclidian,055624a8-1807-4740-acae-453aed386e13,0.28117521456147015,0.193813654714231,True
5,1,manhattan,19c8ced2-94d3-46d8-a325-bca50f903847,0.20523088562803887,7.609817158292824,False
5,1,cosine,19c8ced2-94d3-46d8-a325-bca50f903847,0.9999776150322317,0.9696083562086556,True
5,1,euclidian,19c8ced2-94d3-46d8-a325-bca50f903847,0.006675646038912867,0.248111014258383,False
5,2,manhattan,19c8ced2-94d3-46d8-a325-bca50f903847,0.21939738732904038,7.735519008759512,False
5,2,cosine,19c8ced2-94d3-46d8-a325-bca50f903847,0.9999743688444103,0.9618046580676615,True
5,2,euclidian,19c8ced2-94d3-46d8-a325-bca50f903847,0.006646367431197177,0.2827558188212401,False
5,3,manhattan,19c8ced2-94d3-46d8-a325-bca50f903847,0.206211720073311,7.610641031554072,False
5,3,cosine,19c8ced2-94d3-46d8-a325-bca50f903847,0.9999777441958133,0.9686147380544325,True
5,3,euclidian,19c8ced2-94d3-46d8-a325-bca50f903847,0.006629187037053513,0.28270555395099467,False
5,4,manhattan,19c8ced2-94d3-46d8-a325-bca50f903847,0.20841203345031858,8.546442836177183,False
5,4,cosine,19c8ced2-94d3-46d8-a325-bca50f903847,0.9999701550982595,0.9619068043306054,True
5,4,euclidian,19c8ced2-94d3-46d8-a325-bca50f903847,0.006718748201097758,0.28247765855296186,False
