experiment,k,type_of_similarity,partial_pipeline_id,min_to_terminal_similarity,max_to_terminal_similarity,explanation_satisfied
1,3,manhattan,5ae3bd07-b37a-46ab-b0e1-cc0e4c9d373c,7.3270873994343155,7.725554443367093,False
1,3,cosine,f23f0801-5147-495b-97bc-89989e770143,0.984627230830228,0.953967986982264,True
1,3,euclidian,3c4d2a8f-e970-4dae-b22f-93e42e327787,0.2880435833364639,0.2851596634247484,True
1,4,manhattan,c11c4095-84b3-4ac7-aff6-2ecb9826910a,6.950720140600794,7.966908046713616,False
1,4,cosine,3b90e110-32c5-4f29-8a0a-9d525621cd76,0.95063252987231,0.9749422430037932,False
1,4,euclidian,aebd9f26-07b0-4980-9155-2d0d401db117,0.2383129559345222,0.2558215294215005,False
1,5,manhattan,3c4d2a8f-e970-4dae-b22f-93e42e327787,8.027462574811278,6.547701850113878,True
1,5,cosine,4af3c073-2780-4426-963d-da301dc70a3b,0.9999438934400504,0.958315475195208,True
1,5,euclidian,3d182f0d-7da5-441d-95ce-394b07f09ded,0.2816648608613982,0.2933588804379587,False
2,3,manhattan,3c4d2a8f-e970-4dae-b22f-93e42e327787,7.341616614133761,6.421295192278151,True
2,3,cosine,10e7f94b-26ac-4c71-baca-ca08f285605b,0.9812806642830854,0.9711172957578096,True
2,3,euclidian,22d16d75-3bc7-43d2-b4ce-2093a69cafcd,0.2366046222941662,0.3020775576946561,False
2,4,manhattan,10e7f94b-26ac-4c71-baca-ca08f285605b,6.808833214519471,8.812407371163058,False
2,4,cosine,4c664360-0a6f-49fc-b713-2626de9d8333,0.9999667064466614,0.9583144303946768,True
2,4,euclidian,22d16d75-3bc7-43d2-b4ce-2093a69cafcd,0.159022063275066,0.2936119086973963,False
2,5,manhattan,5166c249-22df-42dc-b1d4-f8d2d261e3fd,6.89459257352758,8.904836970012278,False
2,5,cosine,8ce230c1-10d3-406f-8ad3-841464a4b620,0.998166384555507,0.959790453241794,True
2,5,euclidian,a608fc03-8836-4bdf-bc21-0805357899c3,0.2490969421759066,0.2185771404300235,True
